time,MD,MF
14.819992,0.6024,0.80832
14.839992,0.6024,0.80832
14.859992,0.6024,0.80832
14.880092,0.6024,0.80832
14.899992,0.6024,0.80832
14.919992,0.6024,0.80832
14.939992,0.6024,0.80832
14.959992,0.6024,0.80832
14.979992,0.6024,0.80832
14.999992,0.6024,0.80832
