time,MA,MC,MD,MF
7.785447,-0.069053,-0.013811,0.110485,-0.082864
7.805447,0.027621,0.0,0.110485,0.0
7.825447,-0.055243,0.0,0.110485,-0.041432
7.845447,0.0,-0.013811,0.124296,-0.041432
7.865447,-0.041432,-0.013811,0.082864,-0.027621
7.885447,-0.041432,-0.013811,0.110485,-0.013811
7.905447,0.013811,-0.041432,0.096674,-0.055243
7.925447,-0.055243,-0.013811,0.082864,-0.069053
7.945447,-0.013811,0.013811,0.096674,-0.013811
7.965447,-0.013811,-0.041432,0.082864,-0.082864
7.985447,-0.041432,-0.027621,0.096674,-0.041432
8.005447,-0.055243,0.0,0.082864,-0.041432
8.025447,-0.041432,-0.041432,0.096674,-0.027621
8.045447,-0.055243,-0.041432,0.096674,-0.055243
8.065447,-0.082864,-0.027621,0.096674,-0.055243
8.085447,-0.082864,-0.041432,0.082864,-0.055243
8.105447,-0.082864,0.0,0.096674,-0.055243
8.125447,-0.069053,-0.055243,0.096674,-0.041432
8.145447,-0.096675,-0.013811,0.124296,-0.082864
8.165447,-0.082864,-0.041432,0.096674,-0.013811
8.185447,-0.041432,-0.055243,0.124296,-0.013811
8.205447,-0.082864,0.0,0.110485,-0.082864
8.225447,-0.055243,-0.069053,0.138106,-0.027621
8.245447,-0.055243,0.0,0.069053,-0.041432
8.265447,-0.069053,0.0,0.110485,-0.041432
8.285447,-0.013811,-0.055243,0.082864,-0.027621
8.305447,-0.013811,-0.041432,0.110485,0.0
8.325447,0.013811,-0.013811,0.082864,-0.027621
8.345447,-0.013811,-0.069053,0.096674,-0.069053
8.365447,-0.041432,-0.027621,0.110485,-0.041432
8.385447,0.0,-0.027621,0.069053,-0.041432
8.405447,-0.069053,-0.055243,0.124296,-0.055243
8.425447,-0.013811,-0.027621,0.096674,-0.027621
8.445447,-0.082864,-0.041432,0.096674,-0.069053
8.465447,-0.069053,-0.041432,0.151917,-0.041432
8.485447,-0.096675,-0.013811,0.110485,-0.082864
8.505447,-0.110486,-0.069053,0.151917,-0.013811
8.525447,-0.069053,-0.027621,0.151917,-0.055243
8.545447,-0.165728,-0.069053,0.179539,-0.055243
8.565447,-0.013811,-0.041432,0.179539,0.0
8.585447,-0.179538,-0.027621,0.151917,-0.069053
8.605447,-0.069053,-0.069053,0.179539,-0.041432
8.625447,-0.151917,-0.041432,0.138106,-0.041432
8.645447,-0.124296,0.013811,0.179539,-0.069053
8.665447,-0.124296,-0.055243,0.151917,-0.041432
8.685447,0.290025,0.027621,-0.220971,0.096675
8.705447,-0.60767,-0.055243,0.290024,-0.110485
8.725447,0.538617,-0.013811,-0.110486,0.096675
8.745447,-0.345267,-0.013811,0.124296,-0.041432
8.765447,0.19335,0.0,0.027621,0.027621
8.785447,-0.082864,-0.013811,0.027621,0.0
8.805447,-0.027621,-0.013811,0.027621,0.0
8.825447,-0.013811,0.0,0.027621,0.0
8.845447,-0.027621,-0.013811,0.027621,0.0
8.865447,0.0,0.0,0.041432,0.013811
8.885447,0.0,0.0,0.041432,0.013811
8.905447,-0.013811,-0.013811,0.027621,0.013811
8.925447,-0.013811,-0.013811,0.013811,0.0
8.945447,-0.013811,-0.013811,0.027621,0.013811
8.965447,0.0,-0.013811,0.013811,0.0
8.985447,-0.027621,0.0,0.041432,0.013811
9.005447,-0.013811,-0.013811,0.027621,0.013811
9.025447,-0.013811,0.0,0.041432,0.027621
9.045447,-0.013811,0.0,0.013811,0.013811
9.065447,0.0,0.0,0.027621,0.013811
9.085447,0.0,0.013811,0.027621,0.013811
9.105447,-0.013811,-0.013811,0.027621,0.013811
9.125447,0.0,-0.013811,0.027621,0.013811
9.145447,-0.013811,-0.013811,0.041432,0.0
9.165447,-0.013811,-0.013811,0.027621,0.013811
9.185447,-0.013811,-0.013811,0.027621,0.013811
9.205447,-0.013811,-0.013811,0.027621,-0.013811
9.225447,-0.013811,-0.013811,0.013811,0.013811
9.245447,-0.013811,-0.013811,0.027621,0.013811
9.265447,-0.013811,-0.013811,0.027621,0.0
9.285447,0.0,-0.013811,0.041432,0.0
9.305447,0.0,0.0,0.041432,0.013811
9.325447,0.0,0.0,0.013811,0.027621
9.345447,-0.013811,-0.013811,0.027621,0.013811
9.365447,0.0,-0.013811,0.027621,0.027621
9.385447,-0.013811,-0.013811,0.027621,0.0
9.405447,0.0,-0.013811,0.027621,-0.013811
9.425447,-0.013811,-0.027621,0.013811,0.0
9.445447,-0.013811,0.0,0.027621,-0.027621
9.465447,-0.013811,0.0,0.027621,0.013811
9.485447,-0.013811,-0.013811,0.027621,0.0
9.505447,-0.013811,-0.013811,0.027621,0.013811
9.525447,-0.013811,-0.027621,0.027621,0.027621
9.545447,-0.013811,-0.013811,0.027621,0.013811
9.565447,-0.013811,0.0,0.0,0.013811
9.585447,-0.013811,-0.013811,0.041432,0.0
9.605447,-0.013811,-0.013811,0.027621,0.0
9.625447,-0.013811,-0.013811,0.055243,0.0
9.645447,0.0,-0.027621,0.027621,0.013811
9.665447,-0.013811,-0.013811,0.041432,0.0
9.685447,-0.013811,0.0,0.027621,0.013811
9.705447,-0.013811,0.0,0.027621,0.013811
9.725447,0.0,-0.013811,0.027621,0.013811
9.745447,-0.013811,-0.027621,0.041432,0.013811
9.765447,0.0,0.013811,0.041432,0.013811
9.785447,0.0,-0.027621,0.041432,0.013811
9.805447,-0.027621,0.0,0.041432,0.013811
9.825447,0.0,0.0,0.027621,0.0
9.845447,-0.013811,-0.027621,0.027621,0.0
9.865447,0.0,0.0,0.041432,0.013811
9.885447,-0.027621,-0.013811,0.027621,0.013811
9.905447,-0.013811,-0.013811,0.027621,0.013811
9.925447,0.0,0.013811,0.041432,0.013811
9.945447,-0.013811,-0.027621,0.041432,0.013811
9.965447,-0.013811,0.0,0.041432,0.013811
9.985447,0.0,-0.013811,0.027621,0.013811
